Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Broadway East,Clifton-Berea,9874.0,21213,31291.1,2751.0
Darley Park,Clifton-Berea,9874.0,21213,31291.1,2751.0
South Clifton Park,Clifton-Berea,9874.0,21213,31291.1,2751.0
Greenmount Cemetery,Greenmount East,8184.0,21213,27320.2,2751.0
Johnston Square,Greenmount East,8184.0,21213,27320.2,2751.0
Oliver,Greenmount East,8184.0,21213,27320.2,2751.0
Glenham-Belford,Hamilton,13002.0,21214,71690.9,1363.0
Rosemont East,Hamilton,13002.0,21214,71690.9,1363.0
Westfield,Hamilton,13002.0,21214,71690.9,1363.0
Harford-Echodale/Perring Parkway,Harford/Echodale,16839.0,21214,56655.8,1363.0
North Harford Road,Harford/Echodale,16839.0,21214,56655.8,1363.0
Overlea,Harford/Echodale,16839.0,21214,56655.8,1363.0
Taylor Heights,Harford/Echodale,16839.0,21214,56655.8,1363.0
Brewers Hill,Highlandtown,7250.0,21214,88324.0,1363.0
Highlandtown,Highlandtown,7250.0,21214,88324.0,1363.0
Arcadia,Lauraville,12273.0,21214,69536.6,1363.0
Belair-Parkside,Lauraville,12273.0,21214,69536.6,1363.0
Beverly Hills,Lauraville,12273.0,21214,69536.6,1363.0
Lauraville,Lauraville,12273.0,21214,69536.6,1363.0
Moravia-Walther,Lauraville,12273.0,21214,69536.6,1363.0
Morgan Park,Lauraville,12273.0,21214,69536.6,1363.0
Waltherson,Lauraville,12273.0,21214,69536.6,1363.0
Hillen,Northwood,16643.0,21214,56197.2,1363.0
Montebello,Northwood,16643.0,21214,56197.2,1363.0
Morgan State University,Northwood,16643.0,21214,56197.2,1363.0
New Northwood,Northwood,16643.0,21214,56197.2,1363.0
Original Northwood,Northwood,16643.0,21214,56197.2,1363.0
Perring Loch,Northwood,16643.0,21214,56197.2,1363.0
Stonewood-Pentwood-Winston,Northwood,16643.0,21214,56197.2,1363.0
South Clifton Park,Cross Country/Cheswolde,9874.0,21215,31291.1,4962.0
Cheswolde,Cross-Country/Cheswolde,13034.0,21215,55673.6,4962.0
Cross Country,Cross-Country/Cheswolde,13034.0,21215,55673.6,4962.0
Ashburton,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
Callaway-Garrison,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
Central Forest Park,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
Dolfield,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
Dorchester,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
East Arlington,Dorchester/Ashburton,11786.0,21215,45497.3,4962.0
Windsor Hills,Glen-Fallstaff,14914.0,21215,42439.1,4962.0
Fallstaff,Glen-Falstaff,14914.0,21215,42439.1,4962.0
Glen,Glen-Falstaff,14914.0,21215,42439.1,4962.0
Reisterstown Station,Glen-Falstaff,14914.0,21215,42439.1,4962.0
Woodmere,Glen-Falstaff,14914.0,21215,42439.1,4962.0
Burleith-Leighton,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Hanlon-Longwood,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Liberty Square,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Mondawmin,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Panway/Braddish Avenue,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Walbrook,Greater Mondawmin,9322.0,21215,36968.8,4962.0
Highlandtown,Howard Park/W. Arlington,7250.0,21215,88324.0,4962.0
Forest Park Golf Course,Howard Park/West Arlington,10873.0,21215,54999.5,4962.0
Grove Park,Howard Park/West Arlington,10873.0,21215,54999.5,4962.0
Howard Park,Howard Park/West Arlington,10873.0,21215,54999.5,4962.0
Seton Business Park,Howard Park/West Arlington,10873.0,21215,54999.5,4962.0
West Arlington,Howard Park/West Arlington,10873.0,21215,54999.5,4962.0
Druid Hill Park,Penn North/Reservoir Hill,9668.0,21215,35011.5,4962.0
Parkview/Woodbrook,Penn North/Reservoir Hill,9668.0,21215,35011.5,4962.0
Penn North,Penn North/Reservoir Hill,9668.0,21215,35011.5,4962.0
Reservoir Hill,Penn North/Reservoir Hill,9668.0,21215,35011.5,4962.0
Arlington,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
Central Park Heights,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
